ConstrIndex	ExIndex	Place	PhraseGen	WordDep	Form	Role	Rank	Sem	Rea	ConstrExId	ItemExIndex	KeyLexemes
11467	35300	1	N/A	скверные	A	атрибут	Атрибут	-		1452	5163	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11467	35300	2	зубы	зубы	S	носитель признака	Контролер согласования	-	стандартный	1452	5164	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11467	35301	1	N/A	скверный	A	атрибут	Атрибут	-		1453	5173	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11467	35301	2	дурак	дурак	Snom	носитель признака	Контролер согласования	-	стандартный	1453	5174	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11467	32603	1	N/A	доступным	A	атрибут	Атрибут	-		22112	58830	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11467	32603	2	ценам	ценам	Sdat	носитель признака	Контролер согласования	-	стандартный	22112	58831	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11538	36561	1	Ермила с Кирилой	Ермила	Snom	субъект психологического состояния	Субъект	лицо	стандартный	2372	17770	алкать
11538	36561	2	N/A	алкали	алкать	-	Предикат	-	-	2372	17771	алкать
11538	36561	3	сказочных чудес	чудес	Sgen	содержание мысли	Объект	-	стандартный	2372	17772	алкать
11538	36563	1	пассажиры	пассажиры	Snom	субъект психологического состояния	Несобственный	лицо	контроль	2374	11007	алкать
11538	36563	2	N/A	алкать	алкать	-	Предикат	-		2374	11008	алкать
11538	36563	3	гигиены	гигиены	Sgen	содержание мысли	Объект	-	стандартный	2374	11009	алкать
11538	40978	1	рекламистов	рекламистов	Sacc	субъект психологического состояния	Контролер согласования	лицо	активное причастие	3286	11161	алкать
11538	40978	2	N/A	алчущих	алкать	-	Атрибут	-		3286	11162	алкать
11538	40978	3	«львов»	«львов»	Sgen	обладаемое	Периферия	-	стандартный	3286	91965	алкать
11538	40988	1	Он	Он	SPROnom	субъект психологического состояния	Субъект	лицо	стандартный	3292	11010	алкать
11538	40988	2	N/A	алкал	алкать	-	Предикат	-		3292	11011	алкать
11538	40988	3	общественного блеска	блеска	Sgen	содержание мысли	Объект	-	стандартный	3292	11012	алкать
11538	40996	1	Мэрия	Мэрия	Snom	субъект психологического состояния	Субъект	организация	стандартный	3294	11092	алкать
11538	40996	2	N/A	алчет	алкать	-	Предикат	-	-	3294	11093	алкать
11538	40996	3	их реконструкции	реконструкции	Sgen	содержание мысли	Объект	-	стандартный	3294	11094	алкать
11538	40999	1	Тот	Тот	APROnom	субъект психологического состояния	Несобственный	лицо	деепричастие	3295	17773	алкать
11538	40999	2	N/A	алкая	алкать	-	Предикат	-		3295	17774	алкать
11538	40999	3	славы	славы	Sgen	содержание мысли	Периферия	-	стандартный	3295	17775	алкать
11538	41001	1				субъект психологического состояния	Не выражен		U - неясно	3296	17776	алкать
11538	41001	2	N/A	алчут	алкать	-	Предикат	-		3296	17777	алкать
11538	41001	3	встречи	встречи	Sgen	содержание мысли	Объект	-	стандартный	3296	17778	алкать
11538	41003	1				субъект психологического состояния	Не выражен		преконтекст	3297	11019	алкать
11538	41003	2	N/A	алкал	алкать	-	Предикат	-		3297	11020	алкать
11538	41003	3	мирской славы	славы	Sgen	содержание мысли	Объект	-	стандартный	3297	11021	алкать
11538	41012	1				субъект психологического состояния	Не выражен		преконтекст	3298	11022	алкать
11538	41012	2	N/A	алкала	алкать	-	Предикат	-		3298	11023	алкать
11538	41012	3	новых доказательств	доказательств	Sgen	содержание мысли	Объект	-	стандартный	3298	11024	алкать
11538	41015	1	Справедливость	Справедливость	Snom	субъект психологического состояния	Субъект	абстрактный	стандартный	3299	11025	алкать
11538	41015	2	N/A	алчет	алкать	-	Предикат	-		3299	11026	алкать
11538	41015	3	правды	правды	Sgen	содержание мысли	Объект	-	стандартный	3299	11027	алкать
11538	41017	1	дух этот	дух	Snom	субъект психологического состояния	Субъект	дух	стандартный	3300	11028	алкать
11538	41017	2	N/A	алчет	алкать	-	Предикат	-		3300	11029	алкать
11538	41017	3	истины	истины	Sgen	содержание мысли	Объект	-	стандартный	3300	11030	алкать
11538	41027	1	Монька	Монька	Snom	субъект психологического состояния	Несобственный	лицо	сочинение	3301	11031	алкать
11538	41027	2	N/A	алкать	алкать	-	Предикат	-		3301	11032	алкать
11538	41027	3	его	его	SPROgen	содержание мысли	Периферия	-	стандартный	3301	11033	алкать
11538	41028	1	Я	Я	SPROnom	субъект психологического состояния	Субъект	лицо	стандартный	3302	11034	алкать
11538	41028	2	N/A	алчу	алкать	-	Предикат	-		3302	11035	алкать
11538	41028	3	женщину	женщину	Sacc	содержание мысли	Объект	-	стандартный	3302	11036	алкать
11538	41034	1	Семочка	Семочка	Snom	субъект психологического состояния	Субъект	лицо	стандартный	3304	11040	алкать
11538	41034	2	N/A	алкал	алкать	-	Предикат	-		3304	11041	алкать
11538	41034	3	пива	пива	Sgen	содержание мысли	Объект	-	стандартный	3304	11042	алкать
11538	41039	1	новый хозяин	хозяин	Snom	субъект психологического состояния	Субъект	лицо	стандартный	3305	11037	алкать
11538	41039	2	N/A	алчет	алкать	-	Предикат	-		3305	11038	алкать
11538	41039	3	его	его	SPROacc	содержание мысли	Объект	сооружение	стандартный	3305	11039	алкать
11538	36565	1				субъект психологического состояния	Не выражен		говорящие	3306	11045	алкать
11538	36565	2	N/A	алчем	алкать	-	Предикат	-		3306	11046	алкать
11538	36565	3	знати	знати	Sgen	ситуация в фокусе	Периферия	-	стандартный	3306	11047	алкать
11538	40979	1	его воображение	воображение	Snom	субъект психологического состояния 	Субъект	свойство характера	стандартный	3307	17781	алкать
11538	40979	2	N/A	алкало	алкать	-	Предикат	-		3307	17780	алкать
11538	40979	3	что	что	SPROacc	агенс	Субъект	лицо	стандартный	3307	17779	алкать
11538	40983	1				субъект психологического состояния	Не выражен		субстантивация	3309	17795	алкать
11538	40983	2	N/A	алчущие	алкать	-	Предикат	-		3309	17796	алкать
11538	40983	3	правды	правды	Sgen	содержание мысли	Объект	-	стандартный	3309	17797	алкать
11538	40985	1				субъект психологического состояния	Не выражен		субстантивация	3311	11176	алкать
11538	40985	2	N/A	алчущие	алкать	-	Предикат	-		3311	11177	алкать
11538	40985	3	правды	правды	Sgen	содержание мысли	Несобственный	-	сочинение	3311	11178	алкать
11538	40989	1	безумной человеческой мечтой	мечтой	Sins	субъект психологического состояния 	Контролер согласования	абстрактный	активное причастие	3313	11072	алкать
11538	40989	2	N/A	алчущей	алкать	-	Атрибут	-		3313	11073	алкать
11538	40989	3	зримых кумиров	кумиров	Sgen	содержание мысли 	Объект	лицо	стандартный	3313	11074	алкать
11538	40990	1	люди	люди	Snom	субъект психологического состояния	Контролер согласования	лицо	активное причастие	3314	11075	алкать
11538	40990	2	N/A	алкавшие	алкать	-	Атрибут	-		3314	11076	алкать
11538	40990	3	наживы	наживы	Sgen	содержание мысли	Объект	-	стандартный	3314	11077	алкать
11538	40991	1	сердце	сердце	Snom	субъект психологического состояния	Контролер согласования	часть тела 	активное причастие	3315	17793	алкать
11538	40991	2	N/A	алчущее	алкать	-	Атрибут	-		3315	17794	алкать
