text_id,model,gold_score,predicted_score,abs_error,explanation
0,DeepSeek Chat,61,55,6,
0,Qwen3 Max,61,48,13,
0,Gemma 3 27B,61,48,13,
0,Llama 4 Scout,61,42,19,
0,GPT-5.1,61,48,13,"Текст одновременно образный и рефлексивный: автор много фантазирует, описывает свои внутренние ощущения и недоверие к «старухе», но при этом есть ориентация на действие («я бы пошла…»). Социальности и открытой эмоциональной экспансивности немного, что указывает на небольшой перевес интроверсии при общем среднем уровне."
0,Grok 4,61,45,16,"Текст introspective и творческий, с фокусом на внутренних размышлениях и предпочтением действия над разговором, указывая на умеренную интроверсию."
0,Gemini 2.5 Pro,61,59,2,"Автор создает динамичный сюжет и активно вставляет себя в него («смотрит прямо на меня», «я бы пошла»). Выбор делается в пользу действия, движения и нового опыта («пошла в направлении взгляда молодого человека»), а не статичного, хотя и доверительного, разговора. Это указывает на умеренную экстраверсию."
0,Claude Sonnet 4.5,61,48,13,"Анализ:

Текст демонстрирует баланс между интроверсией и экстраверсией. С одной стороны, автор склонен к глубокому визуальному анализу и интерпретации образов (описание деталей, внутренние размышления о мотивах персонажей). С другой стороны, присутствует явная направленность вовне: прямое обращение к зрителю (""смотрят прямо на меня""), готовность к диалогу (""мы поболтаем""), и, что важно, импульс к действию (""я бы пошла""). 

Автор не замыкается в наблюдении, а представляет себя участником сцены, делает личный выбор, проявляет осторожность в доверии (""не хочется ей верить""). Это говорит об умеренной социальной активности и способности принимать решения с учётом внешних факторов, но при этом сохраняя рефлексивность и осмотрительность."
1,DeepSeek Chat,56,63,7,
1,Qwen3 Max,56,68,12,
1,Gemma 3 27B,56,72,16,
1,Llama 4 Scout,56,72,16,
1,GPT-5.1,56,66,10,"Эмоциональное, энергичное письмо с большим количеством восклицаний и планов (общага, свадьба, поездки, приглашение вместе путешествовать) говорит о выраженной потребности в общении и новых впечатлениях; отказ от «студвесны» по причине лени и усталость от «старых друзей» немного снижает уровень до умеренно выраженной экстраверсии, а не максимальной."
1,Grok 4,56,75,19,"Текст полон энтузиазма, планов на совместные поездки, социальные события и активного общения, что указывает на выраженную экстраверсию, несмотря на отказ от некоторых мероприятий из-за лени."
1,Gemini 2.5 Pro,56,70,14,"Автор активно ищет социального взаимодействия (прямые вопросы, приглашения «Давай со мной!») и с легкостью делится новостями из своей жизни. Планирование масштабных совместных активностей (путешествия) и фокус на внешних событиях (свадьба, переезд) указывают на явную экстраверсию. Однако сознательный отказ от участия в массовом мероприятии («студенческая весна... мне лень») и разрыв со старыми друзьями вносят элемент избирательности, не позволяющий оценить уровень как максимально высокий."
1,Claude Sonnet 4.5,56,72,16,"[краткое пояснение]

Текст демонстрирует выраженные экстравертные черты:
- Высокая коммуникативная активность и эмоциональная экспрессивность (множество восклицательных знаков, смайликов)
- Ориентация на внешние события и социальные контакты (общага, студенческая весна, друзья, свадьба)
- Спонтанность и импульсивность в планировании (предложения поездок в Париж, Китай, Японию)
- Легкость в разрыве старых связей (""Со старыми друзьями я не гуляю, они меня достали"")
- Энергичный, открытый стиль общения с многочисленными вопросами к собеседнику
- Фокус на активности и внешних изменениях в жизни"
2,DeepSeek Chat,47,42,5,
2,Qwen3 Max,47,42,5,
2,Gemma 3 27B,47,33,14,
2,Llama 4 Scout,47,42,5,
2,GPT-5.1,47,41,6,"Сдержанное, краткое описание без личных деталей и экспансивности, с фокусом на внутренних переживаниях персонажей больше соответствует умеренной интровертности."
2,Grok 4,47,48,1,"Текст краток, фокусируется на интерпретации эмоций и внутренних конфликтах персонажей, указывая на задумчивость и наблюдательность, типичную для среднего уровня с уклоном в интроверсию."
2,Gemini 2.5 Pro,47,28,19,"Текст предельно лаконичен и сфокусирован на прямом, односложном толковании эмоционального состояния персонажей. Автор излагает свою мысль как факт, не используя личных конструкций («я думаю»), что говорит о наблюдательной, отстраненной позиции. Отсутствие развернутого повествования, анализа альтернатив или символизма указывает на внутренний, а не социально-ориентированный стиль мышления."
2,Claude Sonnet 4.5,47,48,1,"[краткое пояснение]

Текст очень лаконичный и безличный. Автор описывает ситуацию отстраненно, без эмоциональной вовлеченности или личных переживаний. Нет обращений, восклицаний, личных ассоциаций или развернутых рассуждений. Это сдержанный, минималистичный анализ — характерная черта интровертного стиля коммуникации, где человек склонен к краткости и избегает избыточного самовыражения. Однако текст все же содержит попытку интерпретации чувств персонажей, что свидетельствует о некоторой эмпатии и внутренней рефлексии, типичной для интровертов среднего уровня."
3,DeepSeek Chat,49,68,19,
3,Qwen3 Max,49,68,19,
3,Gemma 3 27B,49,68,19,
3,Llama 4 Scout,49,72,23,
3,GPT-5.1,49,75,26,"Текст очень насыщен общением, встречами, совместными поездками, вечеринками, автор получает явное удовольствие от людей и событий и с энтузиазмом делится подробностями — это типично для выраженного экстраверта."
3,Grok 4,49,78,29,"Текст полон энтузиазма по поводу многочисленных социальных событий, встреч с парнем, подругами и семьей, с акцентом на веселье и общение, что указывает на выраженную экстраверсию."
3,Gemini 2.5 Pro,49,78,29,"Автор демонстрирует явные признаки экстраверсии. Текст представляет собой подробный отчет о многочисленных социальных событиях и действиях (встречи с парнем, вечеринка с подругами, общение с родителями, спортивные игры). Фокус полностью смещен на внешний мир, а не на внутренние переживания. Высокий уровень социальной активности и энергии, проявленный в плотном графике, указывает на сильную экстравертированную направленность."
3,Claude Sonnet 4.5,49,72,23,"[краткое пояснение]

Текст демонстрирует выраженные экстравертные черты: высокую социальную активность (множество встреч с друзьями, парнем, командные мероприятия), ориентацию на внешние события и других людей, эмоциональную открытость и желание делиться переживаниями, насыщенную событиями жизнь с постоянным общением. Автор фокусируется на взаимодействиях с окружающими, описывает многочисленные социальные активности (вечеринки, прогулки, футбол, походы по магазинам), что типично для экстравертов, черпающих энергию из внешнего мира и контактов с людьми."
4,DeepSeek Chat,57,48,9,
4,Qwen3 Max,57,62,5,
4,Gemma 3 27B,57,68,11,
4,Llama 4 Scout,57,70,13,
4,GPT-5.1,57,62,5,"Выраженная ориентированность на общение и совместные активности (погулять, по магазинам, речка, дача, гостевые поездки), частые визиты к родным «потому что скучаю», эмоциональность и многократные призывы писать/приезжать («я тебя очень сильно люблю и скучаю», «поскорее хочу тебя увидеть») указывают на умеренный уровень экстраверсии."
4,Grok 4,57,78,21,"Автор проявляет высокую социальную активность, выражает сильное желание встречаться, гулять, общаться с друзьями и родными, планирует совместные активности, что указывает на выраженную экстраверсию."
4,Gemini 2.5 Pro,57,68,11,"Автор демонстрирует явную направленность на внешний мир и социальные взаимодействия. Текст пронизан желанием видеться с людьми («поскорее хочу тебя увидеть»), планами совместных дел («сходим вместе», «будем ходить на речку, гулять»), а также выражением теплых чувств к близким. Энергичный, эмоционально открытый стиль письма и фокус на людях и активностях как источнике радости указывают на умеренную экстраверсию."
4,Claude Sonnet 4.5,57,72,15,"Пояснение: Текст демонстрирует выраженные признаки экстраверсии. Автор активно стремится к социальному взаимодействию («поскорее хочу тебя увидеть», «погулять с тобой, посмеяться»), много говорит о внешних активностях (кино, магазины, прогулки), легко делится эмоциями и планами. Характерна направленность на других людей, частые упоминания друзей и родных, стремление к совместному времяпрепровождению. Энергичный, эмоционально открытый стиль общения, множество восклицательных знаков, выражение позитивных эмоций и ожидание активного ответа — типичные маркеры экстравертной коммуникации."
5,DeepSeek Chat,47,50,3,
5,Qwen3 Max,47,42,5,
5,Gemma 3 27B,47,48,1,
5,Llama 4 Scout,47,40,7,
5,GPT-5.1,47,41,6,"Автор эмоционален и открыт с близким другом, но явно тяготеет к спокойствию, дому и природе, чувствует дискомфорт в «шумном городе» и толпе людей, что указывает на умеренную интроверсию при наличии потребности в общении."
5,Grok 4,47,42,5,"Текст выражает предпочтение спокойным выходным дома, избегание городской суеты и толпы, фокус на природе и близких отношениях, что указывает на умеренную интроверсию."
5,Gemini 2.5 Pro,47,32,15,"[Текст демонстрирует явные интровертные черты. Автор противопоставляет спокойствие дома и природы «шумному и полному суеты городу», описывает толпу и «серые дома» как нечто угнетающее. Фокус смещен на внутренние переживания, душевное самочувствие и личные размышления, а не на внешние события («Интересного почти ничего не происходит»). Социальная энергия направлена на одного близкого друга, что характерно для интровертов, предпочитающих глубокие связи широкому кругу знакомств.]"
5,Claude Sonnet 4.5,47,72,25,"[краткое пояснение]

Текст демонстрирует явные признаки экстраверсии:
- Высокая потребность в общении и социальных контактах (""очень по тебе скучаю и хочу увидеть"")
- Активное эмоциональное выражение и открытость в коммуникации
- Множественные вопросы к собеседнику, направленность вовне
- Негативная реакция на одиночество и изоляцию (""толпа людей"", ""шумный город"" - но при этом не хочет уезжать из города, скучает по общению)
- Энергичный, живой стиль письма с обилием восклицательных знаков
- Явное стремление к контакту и ожидание ответа (""Жду от тебя ответа"")
- Дискомфорт от отсутствия близкого человека рядом

Это типичное письмо экстраверта, который черпает энергию из внешних взаимодействий и тяжело переносит разлуку."
6,DeepSeek Chat,35,48,13,
6,Qwen3 Max,35,48,13,
6,Gemma 3 27B,35,48,13,
6,Llama 4 Scout,35,48,13,
6,GPT-5.1,35,50,15,"Текст нейтральный по степени эмоциональной и социальной экспрессии: есть внимание к чувствам и отношениям, но без ярко выраженной потребности в контакте или, наоборот, ухода в себя."
6,Grok 4,35,48,13,"Текст краткий, фокусируется на анализе эмоций и внутреннего конфликта персонажей, с акцентом на размышления и разрешение через диалог, что указывает на баланс между интроверсией и социальными аспектами."
6,Gemini 2.5 Pro,35,52,17,"Текст демонстрирует баланс. Стиль изложения нейтральный, сдержанный и фактологический, что характерно для интроверсии. Однако вся интерпретация сюжета построена вокруг социального взаимодействия (конфликт матери и сына, поиск решения через разговор), что указывает на интерес к межличностным отношениям, свойственный экстравертам. Это сочетание помещает автора в середину шкалы."
6,Claude Sonnet 4.5,35,48,13,
7,DeepSeek Chat,32,51,19,
7,Qwen3 Max,32,42,10,
7,Gemma 3 27B,32,55,23,
7,Llama 4 Scout,32,42,10,
7,GPT-5.1,32,56,24,"Автор активно стремится к общению, делится личными переживаниями, приглашает в гости, легко заводит знакомства в группе, но при этом устает от города, шума и множества людей — сочетание выраженной социальности с потребностью в спокойствии, что ближе к умеренному экстраверту."
7,Grok 4,32,68,36,"Автор активно делится личными новостями, скучает по подруге, приглашает в гости и легко заводит друзей, но предпочитает тихую сельскую жизнь и устает от городской суеты."
7,Gemini 2.5 Pro,32,39,7,"Автор демонстрирует черты как интроверсии (явная усталость от большого количества людей и шума, ценность глубоких, а не поверхностных связей, желание спокойной обстановки), так и экстраверсии (легкость в установлении новых контактов, желание поделиться новостями, открытое выражение эмоций). Однако потребность в тишине и дискомфорт от городской среды выражены сильнее, что смещает автора в сторону умеренной интроверсии."
7,Claude Sonnet 4.5,32,68,36,"**Пояснение:**
Текст демонстрирует выраженные черты экстраверсии. Автор активно делится эмоциями и переживаниями, стремится к коммуникации (""хочу с тобой всем поделиться"", ""приезжай обязательно"", ""напиши обязательно""), открыто говорит о своих чувствах и отношениях с людьми. Упоминание о том, что ""сдружилась с некоторыми"", быстрое знакомство ""с первых дней"", а также сильная потребность в социальных связях (""тебя мне все же не хватает"") указывают на экстравертную направленность. Эмоциональная открытость, многословность и фокус на внешних событиях и людях характерны для умеренного экстраверта."
8,DeepSeek Chat,55,33,22,
8,Qwen3 Max,55,42,13,
8,Gemma 3 27B,55,41,14,
8,Llama 4 Scout,55,42,13,
8,GPT-5.1,55,42,13,"Текст отстранённый и описательный: автор рассуждает о чувствах и судьбах других, почти не говорит о себе, пишет спокойно, без яркой эмоциональной самопрезентации и стремления к активному общению — это ближе к умеренной интроверсии."
8,Grok 4,55,42,13,"Текст представляет собой размышление о исторических и эмоциональных аспектах, с фокусом на внутренних переживаниях персонажей, без элементов социального взаимодействия или энтузиазма, что указывает на умеренную интроверсию."
8,Gemini 2.5 Pro,55,38,17,"Текст представляет собой отстраненное повествование с фокусом на внутреннем мире персонажей, их скрытых мотивах и предопределенности судьбы. Автор анализирует сложные, скорее негативные сценарии (несчастный брак, контроль, озлобленность), а не социальное взаимодействие. Такой глубокий уход во внутренний анализ и мрачный тон характерны для интровертированного склада личности."
8,Claude Sonnet 4.5,55,42,13,"Краткое пояснение: Текст содержит развернутое повествование с анализом внутренних переживаний персонажей, но автор остается в роли наблюдателя и аналитика. Присутствует рефлексивность и погруженность в психологические детали, что характерно для интровертов. Однако текст структурирован как публичное высказывание с четкой позицией, что добавляет элементы экстраверсии. Общий баланс смещен в сторону умеренной интроверсии."
9,DeepSeek Chat,52,69,17,
9,Qwen3 Max,52,68,16,
9,Gemma 3 27B,52,68,16,
9,Llama 4 Scout,52,72,20,
9,GPT-5.1,52,63,11,"Эмоциональное, развернутое письмо с обилием восклицаний и смайлов, сильная потребность в общении, желании встреч, совместных дел, походов в кино и т.д. — все это указывает на выраженные экстравертные черты при отсутствии признаков замкнутости."
9,Grok 4,52,68,16,"Текст полон энтузиазма по поводу встреч, общения, совместных активностей (кино, выпечка, прогулки), с предпочтением личного взаимодействия над письмами, что указывает на умеренную экстраверсию, хотя есть упоминания о загруженности учебой."
9,Gemini 2.5 Pro,52,68,16,"Выраженная ориентация на социальные контакты и внешний мир. Автор прямо заявляет о нелюбви к письмам, предпочитая живое общение («надо видеть эмоции человека»). Текст наполнен планами на встречи, эмоциональной лексикой и желанием совместных активностей, что является классическим маркером экстраверсии."
9,Claude Sonnet 4.5,52,72,20,"[краткое пояснение]

Текст демонстрирует явные признаки экстраверсии:
- Активная потребность в общении и совместной деятельности (кино с Колей, встречи с подругой, совместная готовка)
- Эмоциональная экспрессивность и открытое выражение чувств (множество восклицаний, смайликов)
- Ориентация вовне: фокус на событиях, людях, внешних активностях
- Энергия от социальных контактов (""хочу увидеться и поболтать"", скучает по людям)
- Предпочтение живого общения письменному (""надо видеть эмоции человека"")
- Спонтанность и живость изложения
- Широкий круг интересов и активностей (кино, готовка, прогулки)"
