Article ID,Generated 1,Reference keywords,Generated 2,Match % (Generated 1),Match % (Generated 2)
Adaskina_IMS_2014,"слов, релевантных слов, слова, алгоритма, семантических классов, связи, релевантных, пополнения, алгоритм, пополнения семантических","полуавтоматическое пополнение словарей, семантические классы, синтаксические связи, словари для предметных областей, анализ клиентских отзывов, машинное обучение, алгоритм svm, итеративный алгоритм, термины персонала, неразмеченные данные","такая алгоритм,синтаксические связи,семантические классы,представленные результаты,предложенное подход,полуавтоматическое пополнение,коммерческие приложения,клиентские отзывы,автоматическое анализ,эффективность",0.0,20.0
Adaskina_IMS_2015,"документов, классификации, выборки, параметров, просмотренных документов, задачи классификации, классификации текстов, связи, полноты, синтаксические связи","text classification, bootstrapping, machine learning.","эффективность использования,сторона эксперта,синтаксические связи,предлагаемое метод,полуавтоматическое метод,показатели эффективности,оцениваемые эксперт,основа обучения,опыт применения,наше эксперимент",0.0,0.0
Adaskina_IMS_2015,"документов, классификации, выборки, параметров, просмотренных документов, задачи классификации, классификации текстов, связи, полноты, синтаксические связи","классификация, машинное обучение, обучение с
частичным привлечением учителя.","эффективность использования,сторона эксперта,синтаксические связи,предлагаемое метод,полуавтоматическое метод,показатели эффективности,оцениваемые эксперт,основа обучения,опыт применения,наше эксперимент",0.0,0.0
Adrova_IMS_2013,,,"оптимальное количество,настоящая статья,наихороший вариант,значительное сужение,внешние раунды,алгоритмы gost,алгоритм scrypt,работа,параметры,замедление",,
Akatkin_IMS_2014,,,"информация,обмен,техногенные катастрофы,такие направления,перспективы ит-импортозамещения,основа применения,налоговая информация,международный обмен,международное сотрудничество,конкретные направления",,
Aksarin_IMS_2013,,,"поведение,существенное влияние,стиль поведения,современные театры,пример проектов,привлечение зрителей,новое явление,новая сцена,настоящая статья,молодое поколение",,
Alexeeva_IMS_2015,"слов, словаря, текстов, вероятностных слов, документов, окрашенных слов, слова, социально-политической, словарь, коллекции","sentiment lexicon, web interface, crowdsourcing sentiment mark up, russian blogosphere, livejournal, test collection, topic modeling","разметка,эмоциональная оценка,такое анализ,социальные науки,социально-политическая направленность,сами тексты,ресурс http://linis-crowd.org,разметка тональности,прототип словаря,отобранные слова",0.0,0.0
Alexeeva_IMS_2015,"слов, словаря, текстов, вероятностных слов, документов, окрашенных слов, слова, социально-политической, словарь, коллекции","словарь тональной лексики, веб-интерфейс, краудсорсинг тональной разметки, российская блогосфера, «живой
журнал», размеченная коллекция, тематическое моделирование","разметка,эмоциональная оценка,такое анализ,социальные науки,социально-политическая направленность,сами тексты,ресурс http://linis-crowd.org,разметка тональности,прототип словаря,отобранные слова",0.0,0.0
Antipenko_IMS_2019,"русского языка, рас, языка, слов, слова, рдт, сети facebook, facebook, данных, русского","distributional semantics, corpus linguistics, social networks, associative
experiment, language consciousness, russian","языковой сознание,социальные сети,сопоставительный анализ,современные пользователи,русскоязычные тексты,результаты эксперимента,помощь алгоритмов,полученные результаты,полученные данные,лингвистический анализ",0.0,0.0
Antipenko_IMS_2019,"русского языка, рас, языка, слов, слова, рдт, сети facebook, facebook, данных, русского","дистрибутивная семантика, корпусная лингвистика, социальные
сети, ассоциативный эксперимент, языковое сознание, русский язык","языковой сознание,социальные сети,сопоставительный анализ,современные пользователи,русскоязычные тексты,результаты эксперимента,помощь алгоритмов,полученные результаты,полученные данные,лингвистический анализ",0.0,0.0
Antopolskii_IMS_2021,"лир, clarin, российских лир, данных, области лир, количество лир, например, использование лир, лингвистические, созданию лир","linguistic information resources, infrastructure, clarin. development program, services, llod","лир,поддержка,языковые ресурсы,программа развития,опыт clarin,облако llod,наихороший решение,информационная поддержка,финансирование,участие",0.0,0.0
Antopolskii_IMS_2021,"лир, clarin, российских лир, данных, области лир, количество лир, например, использование лир, лингвистические, созданию лир","лингвистические информационные ресурсы, инфраструктура, clarin. программа развития, сервисы, llod","лир,поддержка,языковые ресурсы,программа развития,опыт clarin,облако llod,наихороший решение,информационная поддержка,финансирование,участие",0.0,0.0
Artemova_IMS_2015,"паруса, латинские паруса, российской федерации, университет итмо, предметной области, слова, текстов, таким образом, латинские, терминов","ontology, parsing, semantic classifier","отдельные термины,электронное обучение,частота встречаемости,толкование терминов,текстовые источники,смысл онтологии,семантический классификатор,семантические классификатор,разработка онтологий,пример материалов",0.0,0.0
Artemova_IMS_2015,"паруса, латинские паруса, российской федерации, университет итмо, предметной области, слова, текстов, таким образом, латинские, терминов","онтологии, парсинг, семантический классификатор","отдельные термины,электронное обучение,частота встречаемости,толкование терминов,текстовые источники,смысл онтологии,семантический классификатор,семантические классификатор,разработка онтологий,пример материалов",0.0,33.33
Arzumanyan_IMS_2013,,,"целесообразность применения,роль мета-описаний,научные стати,концептуальные карты,информационные взаимодействия,гуманитарная область,статья,содержание,скорость,возрастание",,
Azarova_IMS_2016,"pwn, русского языка, языка, yarn, ресурсов, тыс, данных, russnet, тезаурус, проекта","lexical statistics, thesaurus, linguistic ontology, wordnet, dictionary
integration.","русский язык,30 тыс,синсеты,сочетание подходов,словарные единицы,семантические связи,сегодняшний день,свободная лицензия,результат проекта,работа экспертов",0.0,0.0
Azarova_IMS_2016,"pwn, русского языка, языка, yarn, ресурсов, тыс, данных, russnet, тезаурус, проекта","лексическая статистика, тезаурус, лингвистическая
онтология, wordnet, интеграция словарных данных.","русский язык,30 тыс,синсеты,сочетание подходов,словарные единицы,семантические связи,сегодняшний день,свободная лицензия,результат проекта,работа экспертов",20.0,0.0
Azarova_IMS_2018,"предложных конструкций, предлогов, сквозь, ipm, конструкций, предложных, предлог, производных предлогов, производный предлог, предлога","corpus lexical statistics, semantic domain, russian prepositional constructions, transitive prepositional constructions, temporal constructions, mediative constructions","структура предложений,статистические характеристики,смысловой рубрика,русский язык,производные предлогов,предложные конструкции,медиативные значения,корпусная реализация,зависимые слова,типы",0.0,0.0
Azarova_IMS_2018,"предложных конструкций, предлогов, сквозь, ipm, конструкций, предложных, предлог, производных предлогов, производный предлог, предлога","russian prepositions ‧ prepositional constructions ‧ preosition
meaning ‧ transitive constructions‧ temporal constructions ‧ mediative constructions","структура предложений,статистические характеристики,смысловой рубрика,русский язык,производные предлогов,предложные конструкции,медиативные значения,корпусная реализация,зависимые слова,типы",0.0,0.0
Bakhvalov_IMS_2020,"ошибок, данных, правил, генерации правил, правила, набора данных, правило, ошибки, генерации, набора","grammar check, automatic error correction, rule generation, rule-based, error detection","подход,существующая система,причина ошибки,привлечение лингвистов,полученные правила,новые языки,настоящая работа,написанное текст,машинное обучение,количество людей",0.0,0.0
Bakhvalov_IMS_2020,"ошибок, данных, правил, генерации правил, правила, набора данных, правило, ошибки, генерации, набора","проверка правописания, автоматическое исправление ошибок, генерация правил, детектирование ошибок","подход,существующая система,причина ошибки,привлечение лингвистов,полученные правила,новые языки,настоящая работа,написанное текст,машинное обучение,количество людей",0.0,0.0
Balakshina_IMS_2014,,,"электронные документы,кредитные организации,эксплуатационная модель,часть обмена,финансовые документы,федеральное казначейство,схема осуществления,система обмена,российская федерация,процесс приемапередачи",,
Baranov_IMS_2014,,,"электронный регион,электронное правительство,существенные барьеры,ростовская область,российская федерация,региональное сегмент,информационно-аналитическая система,данный процесс,статья,внедрение",,
Belinskaya_IMS_2014,"бан, академии наук, российской академии, академии, наук, российской, системы бан, ран, фонд бан, сайте бан","электронный каталог, оцифровка, фактографические базы данных, ирбис64, консервация документов, сохранность документов, мониторинг, биомониторинг, анализ данных","бан,электронное каталог,фактографические бд,оцифровка фондов,опыт автоматизации,библиотечные фонды,библиотечно-библиографические процессы,сохранность,создание,разработка",0.0,0.0
Belkin_IMS_2015,"области знаний, знаний, области, историческая демография, сети, элементарных знаний, историческая, сети области, предметной области, сетей","semantic network, knowledge domain, knowledge space, generating
principle, subject knowledge, professional knowledge, cognitive structure.","результаты развития,помощь системы,область знаний,историческая демография,формализм,применение,знания",0.0,0.0
Belkin_IMS_2015,"области знаний, знаний, области, историческая демография, сети, элементарных знаний, историческая, сети области, предметной области, сетей","семантическая сеть, область знаний, пространство
знаний, порождающий принцип, предметное знание, профессиональное
знание, когнитивная структура.","результаты развития,помощь системы,область знаний,историческая демография,формализм,применение,знания",0.0,14.29
Belkin_IMS_2024,"данных, отзывов, данные, отзывы, анализа тональности, набор данных, пользователей, тональности, количество, отзывах","отзывы пациентов поликлиник, открытые данные, яндекс карты, веб-скрапинг, естественная обработка языка, анализ тональности, тематическое моделирование","пользовательские отзывы,процесс сбора,медицинские учреждения,учреждение здравоохранения,требующие внимание,тематический моделирование,стилистическое разнообразие,сравнительное анализ,сбор данных,сайты поликлиник",0.0,0.0
Belov_IMS_2018,"текстов, русского языка, документов, корпус, документы, правила, локальных документов, языка, правила поведения, например","legal corpora, official texts, corpus of russian internal documents, socially
important domains","русский язык,локальные документы,число,разметка,языковые черты,языковой сложность,формирование корпуса,точка зрения,типы текстов,существующие корпусы",0.0,0.0
Belov_IMS_2018,"текстов, русского языка, документов, корпус, документы, правила, локальных документов, языка, правила поведения, например","корпус русских локальных документов, официально-деловые
тексты, типы текстов, социально-значимые домены (здравоохранение, образование, культура)","русский язык,локальные документы,число,разметка,языковые черты,языковой сложность,формирование корпуса,точка зрения,типы текстов,существующие корпусы",0.0,16.67
Belova_IMS_2014,,,"нижегородская область,электронный гражданин,формирование кампании,социальные проекты,реализуемые правительство,пример проекта,популяризация проекта,использование интернета,использование интернет-инструментов,информационное общество",,
Bershadskaya_IMS_2013,,,"электронное правительство,статья,электронные услуги,сервис мониторинга,качество инструмента,имеющая ретроспектива,2013 года,развитие,апрель,анализ",,
Bikkulov_IMS_2013,,,"подростковые самоубийства,данная тема,статья,российская блогосфера,последующая динамика,динамика обсуждаемости,явление,россия,проблематика,помощь",,
Bikova_IMS_2023,"эмо, текст, дзи, лемматизированный текст, пунктуацией, logistic regression, текста, пунктуации, bow, лемматизированный","анализ эмоций, эмоциональная окраска текста, эмо́дзи, машинное обучение, нейронные сети","мягкий голосование,f1-мера weighted,f1-мера macro,текст постов,социальная сеть,содержащие эмо́дзь,наихороший результат,модель bow,мешок слов,данная работа",0.0,0.0
Blinova_IMS_2017,"типа, pl.pej, именных групп, форм, множественного пейоративного, формы, сидоровых, множественного, групп, форм pl.pej","russian, webcorpus, rutenten, query parameters, semantics, secondary meanings of plural, proper names, pejorative
plural, noun phrase, co-occurrence, quantifiers, sentiment analysis","именные группы,конструкция,компоненты,элективные конструкция,счётные существительные,русский язык,результаты исследования,пятьсот сидоровых,применение cql,наречия типа",0.0,0.0
