Слово,Семантическая роль,Полная семантическая разметка
Светлана,агенс,t:hum;r:propn;t:persn
Светлана,адресат,t:hum;r:propn;t:persn
Светлана,аудитория,t:hum;r:propn;t:persn
Красная,атрибут,t:physq:color;r:qual
хозяев,агенс,t:hum;r:concr
хозяев,аудитория,t:hum;r:concr
Красную,атрибут,t:physq:color;r:qual
Олег,агенс,t:hum;r:propn;t:persn
Олег,адресат,t:hum;r:propn;t:persn
Олег,аудитория,t:hum;r:propn;t:persn
Толкачев,агенс,t:hum;r:propn;t:famn
Толкачев,аудитория,t:hum;r:propn;t:famn
Красную,атрибут,t:physq:color;r:qual
никогда,аспект,der:advpro;r:neg;t:time
Новые,аспект,t:time;r:qual
новые,аспект,t:time;r:qual
пор,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
коммерсантов,агенс,t:hum;r:concr;der:s;t:prof
коммерсантов,аудитория,t:hum;r:concr;der:s;t:prof
журналистов,агенс,t:hum;r:concr;der:s;t:prof
журналистов,аудитория,t:hum;r:concr;der:s;t:prof
уже,аспект,t:time
недавней,аспект,d:neg;dt:time;t:time;der:a;r:qual
заместитель,агенс,der:v;t:hum;r:concr;d:nag
заместитель,аудитория,der:v;t:hum;r:concr;d:nag
мэра,агенс,t:hum;r:concr
мэра,аудитория,t:hum;r:concr
правительстве,агенс,pc:org;pt:set;t:org;der:v;t:group;sc:hum;pt:part;r:concr
правительстве,адресат,pc:org;pt:set;t:org;der:v;t:group;sc:hum;pt:part;r:concr
руководитель,агенс,der:v;t:hum;r:concr;d:nag
руководитель,аудитория,der:v;t:hum;r:concr;d:nag
Олег,агенс,t:hum;r:propn;t:persn
Олег,адресат,t:hum;r:propn;t:persn
Олег,аудитория,t:hum;r:propn;t:persn
Толкачев,агенс,t:hum;r:propn;t:famn
Толкачев,аудитория,t:hum;r:propn;t:famn
Устроители,агенс,der:v;t:hum;r:concr;d:nag
Устроители,аудитория,der:v;t:hum;r:concr;d:nag
желающих,агенс,der:v;t:hum;r:concr;der:subst
желающих,аудитория,der:v;t:hum;r:concr;der:subst
нового,аспект,t:time;r:qual
Толкачева,агенс,t:hum;r:propn;t:famn
Толкачева,аудитория,t:hum;r:propn;t:famn
давно,аспект,t:time
прошлом,аспект,der:v;r:rel;dt:move;t:time
специалистов,агенс,t:hum;r:concr;der:s;t:prof
специалистов,аудитория,t:hum;r:concr;der:s;t:prof
нынешний,аспект,der:adv;r:rel;t:time
правительство,агенс,pc:org;pt:set;t:org;der:v;t:group;sc:hum;pt:part;r:concr
правительство,адресат,pc:org;pt:set;t:org;der:v;t:group;sc:hum;pt:part;r:concr
Новые,аспект,t:time;r:qual
Олег,агенс,t:hum;r:propn;t:persn
Олег,адресат,t:hum;r:propn;t:persn
Олег,аудитория,t:hum;r:propn;t:persn
Михайлович,агенс,t:hum;t:patrn;r:propn;der:s
Михайлович,аудитория,t:hum;t:patrn;r:propn;der:s
заместитель,агенс,der:v;t:hum;r:concr;d:nag
заместитель,аудитория,der:v;t:hum;r:concr;d:nag
председателя,агенс,t:hum;r:concr;d:nag
председателя,аудитория,t:hum;r:concr;d:nag
Комитета,агенс,pc:org;t:org;pt:set;sc:hum;pt:part;r:concr
Комитета,адресат,pc:org;t:org;pt:set;sc:hum;pt:part;r:concr
Госдумы,агенс,der:comp;der:abbr;r:propn;t:org
Госдумы,адресат,der:comp;der:abbr;r:propn;t:org
Александр,агенс,t:hum;r:propn;t:persn
Александр,адресат,t:hum;r:propn;t:persn
Александр,аудитория,t:hum;r:propn;t:persn
Новиков,агенс,t:hum;r:propn;t:famn
Новиков,аудитория,t:hum;r:propn;t:famn
новые,аспект,t:time;r:qual
представителям,агенс,der:v;t:hum;r:concr;d:nag
представителям,аудитория,der:v;t:hum;r:concr;d:nag
чиновников,агенс,t:hum;r:concr;der:s
чиновников,аудитория,t:hum;r:concr;der:s
предпринимателей,агенс,der:v;t:hum;r:concr;d:nag;t:prof
предпринимателей,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
предприятия,агенс,der:v;r:concr;t:org
предприятия,адресат,der:v;r:concr;t:org
порой,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
сотрудники,агенс,der:v;t:hum;r:concr;d:nag
сотрудники,аудитория,der:v;t:hum;r:concr;d:nag
корреспондента,агенс,t:hum;r:concr;der:s;t:prof
корреспондента,аудитория,t:hum;r:concr;der:s;t:prof
блюстителей,агенс,der:v;t:hum;r:concr
блюстителей,аудитория,der:v;t:hum;r:concr
графом,агенс,t:hum;r:concr
графом,аудитория,t:hum;r:concr
Суворовым,агенс,t:hum;r:propn;t:famn
Суворовым,аудитория,t:hum;r:propn;t:famn
Мерилин,агенс,t:hum;r:propn;t:persn
Мерилин,адресат,t:hum;r:propn;t:persn
Мерилин,аудитория,t:hum;r:propn;t:persn
