в. --> в. | tag = UNKN
я. --> я. | tag = UNKN
брюсов --> брюсов | tag = NOUN,anim,masc,Sgtm,Surn sing,nomn
на --> на | tag = PREP
пруду --> пруд | tag = NOUN,inan,masc sing,datv
ты --> ты | tag = NPRO,2per sing,nomn
белых --> белый | tag = ADJF,Qual plur,gent
лебедей --> лебедь | tag = NOUN,anim,masc plur,gent
кормила --> кормить | tag = VERB,impf,tran femn,sing,past,indc
откинув --> откинуть | tag = GRND,perf,tran past
тяжесть --> тяжесть | tag = NOUN,inan,femn sing,accs
черных --> чёрный | tag = ADJF,Qual plur,gent
кос… --> кос… | tag = UNKN
я --> я | tag = NPRO,1per sing,nomn
рядом --> рядом | tag = ADVB,Prdx
плыл --> плыть | tag = VERB,impf,intr masc,sing,past,indc
сошлись --> сойтись | tag = VERB,perf,intr plur,past,indc
кормила --> кормить | tag = VERB,impf,tran femn,sing,past,indc
закатный --> закатный | tag = ADJF,Qual masc,sing,nomn
луч --> луч | tag = NOUN,inan,masc sing,nomn
был --> быть | tag = VERB,impf,intr masc,sing,past,indc
странно-кос --> странный-косой | tag = ADJS,Qual neut,sing
по --> по | tag = PREP
небу --> небо | tag = NOUN,inan,neut sing,datv
полосы --> полоса | tag = NOUN,inan,femn sing,gent
синели --> синель | tag = NOUN,inan,femn sing,gent
вечеровой --> вечеров | tag = NOUN,anim,femn,Sgtm,Surn sing,gent
багрец --> багрец | tag = NOUN,inan,masc sing,nomn
кроя --> крой | tag = NOUN,inan,masc sing,gent
в --> в | tag = PREP
цветах --> цвета | tag = NOUN,anim,femn,Name plur,loct
черемух --> черёмуха | tag = NOUN,inan,femn plur,gent
и --> и | tag = CONJ
синели --> синель | tag = NOUN,inan,femn sing,gent
скрывались --> скрываться | tag = VERB,impf,intr plur,past,indc
водные --> водный | tag = ADJF,Qual inan,plur,accs
края --> край | tag = NOUN,inan,masc sing,gent
все --> всё | tag = PRCL
формы --> форма | tag = NOUN,inan,femn sing,gent
были --> быть | tag = VERB,impf,intr plur,past,indc
строго-четки --> строго-чётки | tag = NOUN,inan,GNdr,Pltm plur,nomn
миг --> миг | tag = NOUN,inan,masc sing,accs
ранил --> ранить | tag = VERB,perf,tran masc,sing,past,indc
сердце --> сердце | tag = NOUN,inan,neut sing,accs
сотней --> сотня | tag = NOUN,inan,femn sing,ablt
жал… --> жал… | tag = UNKN
я --> я | tag = NPRO,1per sing,nomn
как --> как | tag = CONJ
аскет --> аскет | tag = NOUN,anim,masc sing,nomn
сжимает --> сжимать | tag = VERB,impf,tran sing,3per,pres,indc
четки --> чётки | tag = NOUN,inan,GNdr,Pltm plur,nomn
в --> в | tag = PREP
руке --> рука | tag = NOUN,inan,femn sing,loct
весло --> весло | tag = NOUN,inan,neut sing,nomn
невольно --> невольно | tag = ADVB
жал --> жало | tag = NOUN,inan,neut plur,gent
вдруг --> вдруг | tag = ADVB
лебедей --> лебедь | tag = NOUN,anim,masc plur,gent
метнулась --> метнуться | tag = VERB,perf,intr femn,sing,past,indc
пара… --> пара… | tag = UNKN
не --> не | tag = PRCL
знаю --> знать | tag = VERB,impf,tran sing,1per,pres,indc
чья --> чей | tag = ADJF,Apro femn,sing,nomn
была --> быть | tag = VERB,impf,intr femn,sing,past,indc
вина… --> вина… | tag = UNKN
закат --> закат | tag = NOUN,inan,masc sing,nomn
замлел --> замлеть | tag = VERB,perf,intr masc,sing,past,indc
за --> за | tag = PREP
дымкой --> дымка | tag = NOUN,inan,femn sing,ablt
пара --> пара | tag = NOUN,inan,femn sing,nomn
алея --> алеть | tag = GRND,impf,intr pres
как --> как | tag = CONJ
поток --> поток | tag = NOUN,inan,masc sing,nomn
вина --> вино | tag = NOUN,inan,neut sing,gent
была --> быть | tag = VERB,impf,intr femn,sing,past,indc
то --> то | tag = CONJ
правда --> правда | tag = PRCL
ли --> ли | tag = CONJ
мечта --> мечта | tag = NOUN,inan,femn sing,nomn
ли --> ли | tag = CONJ
уста --> уста | tag = NOUN,inan,GNdr,Pltm plur,accs
двоих --> двое | tag = NUMR,Coll anim,accs
слились --> слиться | tag = VERB,perf,intr plur,past,indc
в --> в | tag = PREP
одно --> один | tag = ADJF,Apro,Anum neut,sing,accs
две --> два | tag = NUMR inan,femn,accs
лодки --> лодка | tag = NOUN,inan,femn plur,nomn
как --> как | tag = CONJ
и --> и | tag = CONJ
мы --> мы | tag = NPRO,1per plur,nomn
мечтали --> мечтать | tag = VERB,impf,intr plur,past,indc
как --> как | tag = CONJ
будто --> будто | tag = CONJ
вонзены --> вонзить | tag = PRTS,perf,past,pssv plur
во --> в | tag = PREP Vpre
дно --> дно | tag = NOUN,inan,neut sing,accs
я --> я | tag = NPRO,1per sing,nomn
свято --> святой | tag = ADJS,Qual neut,sing
помню --> помнить | tag = VERB,impf,tran sing,1per,pres,indc
эту --> этот | tag = ADJF,Subx,Apro,Anph femn,sing,accs
встречу --> встреча | tag = NOUN,inan,femn sing,accs
пруд --> пруд | tag = NOUN,inan,masc sing,accs
берег --> берег | tag = NOUN,inan,masc sing,nomn
неба --> небо | tag = NOUN,inan,neut sing,gent
яркий --> яркий | tag = ADJF,Qual masc,sing,nomn
плат… --> плат… | tag = UNKN
миг --> миг | tag = NOUN,inan,masc sing,accs
тот --> тот | tag = ADJF,Subx,Apro,Anph masc,sing,nomn
же --> же | tag = PRCL
если --> если | tag = CONJ
вновь --> вновь | tag = ADVB
я --> я | tag = NPRO,1per sing,nomn
встречу --> встреча | tag = NOUN,inan,femn sing,accs
и --> и | tag = CONJ
жизнь --> жизнь | tag = NOUN,inan,femn sing,accs
ничтожная --> ничтожный | tag = ADJF,Qual femn,sing,nomn
из --> из | tag = PREP
плат --> плата | tag = NOUN,inan,femn plur,gent
декабря --> декабрь | tag = NOUN,inan,masc sing,gent
